date_forecast,gefs_d-15,gefs_d-14,gefs_d-13,gefs_d-12,gefs_d-11,gefs_d-10,gefs_d-9,gefs_d-8,gefs_d-7,gefs_d-6,gefs_d-5,gefs_d-4,gefs_d-3,gefs_d-2,gefs_d-1
2022-07-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0773333350817362
2022-07-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2586666655540466,0.0200000002980232
2022-07-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7226666653156282,0.0893333346645037,0.0013333333532015
2022-07-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8053333320220311,0.3826666707793872,0.1826666686932246,0.02400000055631
2022-07-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7453333341081937,1.4586666584014891,0.5493333325783414,0.2013333348433176,0.2973333331942558
2022-07-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9760000061988834,1.399999997814496,0.3400000043710073,0.522666666805744,0.3386666701237361,0.0
2022-07-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4026666684945424,0.756000003417333,0.5106666651368141,0.8933333386977514,0.2666666680574416,0.0253333333134651,0.0213333335518836
2022-07-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2146666683753331,0.5320000028610231,0.3840000049273173,0.1906666699051856,0.1520000028610229,0.1746666678786277,0.0533333341280619,0.0106666668256123
2022-07-13,0.0,0.0,0.0,0.0,0.0,0.0,0.6093333364526431,0.5063999989877144,0.4453333338101706,0.1786666677395502,0.2499999984602133,0.8213333355387054,0.4733333352208137,0.2560000011324883,0.2933333329359689
2022-07-14,0.0,0.0,0.0,0.0,0.0,0.646666672428449,0.8120000014702479,0.3960000003377597,0.4106666657328606,0.4813333316644032,0.6520000030597051,0.482666668097178,0.6506666634480158,0.2373333327968915,0.0066666667660077
2022-07-15,0.0,0.0,0.0,0.0,0.1813333363334338,0.8800000000993411,0.6359999982515969,0.6639999989668528,0.5893333316842715,0.4453333337108295,0.6360000038146976,0.705333330134551,0.6666666677594185,0.3666666668653489,0.0560000001390774
